,0
83,Tamika had to wait for a half hour before she was seated at the restaurant.
84,The criminal wished he still had the rusty hammer.
85,The criminal's new hiding place was inside the house next door.
86,"Yes, the police apprehended the criminal in a timely manner."
87,The criminal wished he still had the rusty hammer.
88,The criminal's new hiding place was the house next door.
89,"No, the police did not apprehend the criminal in a timely manner."
90,A hammer
91,The criminal's new hiding place was a seemingly abandoned house.
92,"Yes, the police apprehended the criminal in a timely manner."
93,The criminal wished he still had the rusty hammer.
94,The criminal's new hiding place was a seemingly abandoned house.
95,"Yes, the police apprehended the criminal in a timely manner."
96,The daughter was fighting an aggressive cancer.
97,The gift store was located just down the hall from their daughter's room on the 7th floor of the hospital.
98,The first thing the father did when he left his daughter's room was to sprint through the 7th floor of the hospital.
99,The daughter was fighting an aggressive cancer.
100,The gift store was located just down the hall from the daughter's room on the 7th floor of the hospital.
101,The father leaned against the wall and closed his eyes.
102,The daughter was fighting an aggressive cancer.
103,The gift store was located several blocks away from the hospital.
104,The father sprinted through the 7th floor of the hospital.
105,The daughter was fighting an aggressive cancer.
106,The gift store was located several blocks away from the hospital.
107,The father waited for the elevator.
108,The piano.
109,The music instructor gave her lessons at her home.
110,The music instructor did not see any students today.
111,The piano.
112,The music instructor gave her lessons at her home.
113,"The music instructor saw three students today: Anya, Amy, and Jose."
114,The piano.
115,The music instructor gave her lessons in her students' homes.
116,The music instructor did not see any students today.
117,The piano.
118,The music instructor gave her lessons in her students' homes.
119,"The music instructor saw three students today: Anya, Amy, and Jose."
120,They started their date in a vintage sailboat.
121,The restaurant was located right next to the dock.
122,They did not wait at the restaurant before they were seated.
123,A sailboat.
124,The restaurant was located right next to the dock.
125,They waited an hour.
126,A sailboat.
127,The restaurant was located several miles away from where Jason and Jenna climbed out of the vintage sailboat.
128,They did not wait at all.
129,A sailboat.
130,The restaurant was located several miles away at the other end of town.
131,"They were thirty minutes late for their reservation, so they waited thirty minutes before they were seated."
132,The wooden table in the dining room.
133,Joseph first looked for a suitable box in the remaining empty boxes in the apartment.
134,Joseph's search for a box that would suit their purposes was very short.
135,The wooden table in the dining room.
136,Joseph first looked for a suitable box among the remaining empty boxes in their apartment.
137,Joseph's search for a box that would suit their purposes took half an hour.
138,The wooden table in the dining room.
139,Joseph first looked for a suitable box in the remaining empty boxes in their apartment.
140,Joseph's search for a box that would suit their purposes was not long.
141,The wooden table in the dining room.
142,Joseph first looked for a suitable box in the remaining empty boxes in their apartment.
143,Joseph's search for a box that would suit their purposes took half an hour.
144,The friendly animal Jenna picked up from the vet was a dog.
145,Jenna drove to the veterinary clinic in her Toyota.
146,The errand took Jenna 5 minutes.
147,The friendly animal Jenna picked up from the vet was a dog.
148,Jenna walked to the veterinary clinic.
149,The errand took Jenna a total of 1.
150,The friendly animal Jenna picked up from the vet was a dog.
151,Jenna drove to the veterinary clinic in her Toyota.
152,Jenna's errand took her 20 minutes.
153,The friendly animal Jenna picked up from the vet was a dog.
154,Jenna walked to the veterinary clinic.
155,Jenna's errand took approximately 4 hours.
156,Apples
157,"Yes, Jessie arrived at the judge's table in a timely manner."
158,Jessie was not at the judge's tent at the start of the story.
159,Apples
160,"No, Jessie did not arrive at the judge's tent in a timely manner."
161,Jessie was not at the judge's tent at the start of the story.
162,Apples
163,"Yes, Jessie arrived at the judge's tent in a timely manner."
164,"The story does not provide specific distances, but it mentions that Jessie was on the wrong side of the vast fair."
165,Apples
166,"No, Jessie did not arrive at the judge's tent in a timely manner."
167,Jessie was two miles away from the judge's tent at the start of the story.
168,The glossy book Keisha left on the bench is not specified in the text.
169,Keisha had two issues getting to work.
170,"Yes, Keisha arrived at work in a timely manner."
171,The glossy book Keisha left on the bench is not specified in the text.
172,Keisha had several issues getting to work.
173,"No, Keisha did not arrive at work in a timely manner."
174,The glossy book Keisha left on the bench is the one she was reading while waiting for the bus.
175,Keisha had two issues getting to work.
176,"Yes, Keisha arrived at work in a timely manner."
177,The glossy book Keisha left on the bench is not specified in the text.
178,Keisha had several issues getting to work.
179,"No, Keisha did not arrive at work in a timely manner."
180,The gun.
181,Ryan found his kit for processing crime scenes in his car.
182,Ryan did not search for his kit for a long time.
183,The gun.
184,Ryan found his kit for processing crime scenes in his car.
185,Ryan searched for his kit for half an hour.
186,The gun.
187,Ryan found his kit for processing crime scenes at home.
188,Ryan did not search for his kit.
189,The gun.
190,Ryan found his kit for processing crime scenes at his house.
191,It took Ryan an hour to find his kit.
192,pants
193,Sarah had thirty minutes to shop before she needed to be back at home for the birthday dinner.
194,Sarah first tried to find her sister's birthday present at a chic boutique that catered to the tastes of the young and the fashionable.
195,pants
196,Sarah had several hours before she needed to be back home for the birthday dinner.
197,Sarah first tried to find her sister's birthday present in the store's inventory.
198,pants
199,Sarah had thirty minutes to shop before she needed to be back at home.
200,The first place that Sarah tried to find her sister's birthday present was a chic boutique at the mall.
201,The passage does not specify the exact piece of trendy clothing Sarah bought for her sister.
202,Sarah had several hours before she needed to be back home for the birthday dinner.
203,The mall.
204,Diamonds
205,The woman did not travel far before she remembered the cell phone.
206,The passage does not provide information about whether the robbers were still in the jewelry store when the police arrived.
207,Diamonds
208,The woman did not travel far before she remembered the cell phone.
209,The passage does not provide information about the robbers' whereabouts when the police arrived.
210,Diamonds
211,"The woman traveled approximately 1 mile down the street, then continued running down the road, and cut across a construction site before she remembered the cell phone in her pocket."
212,The passage does not provide information about whether the robbers were still in the jewelry store when the police arrived.
213,Diamonds.
214,The woman traveled a significant distance before she remembered the cell phone in her pocket.
215,The passage does not provide information about the robbers' whereabouts when the police arrived.
216,The warrior wiped his soiled fingers on his wool shirt.
217,The warrior ate his lunch at a table.
218,The warrior had a half hour to himself before the battle began.
219,The warrior wiped his soiled fingers on his wool shirt.
220,"The warrior ate his lunch in his own quarters or camp, as there is no mention of him leaving his location before the battle."
221,The warrior had several hours to himself before the battle began.
222,The warrior wiped his soiled fingers on his wool shirt.
223,The warrior ate his lunch at his favorite inn.
224,The warrior had a half hour to himself before the battle began.
225,The warrior wiped his soiled fingers on his wool shirt.
226,The warrior ate his lunch at an inn.
227,The warrior had several hours to himself before the battle began.
