,0
207,Diamonds.
208,1/2 mile
209,"No, the robbers had escaped before the woman called the police."
210,Diamonds.
211,"1 mile down the street, then a mile to the bank, then a mile to the construction site, then a mile to the payphone."
212,"No, they were not."
213,The robbers scooped diamonds into the black velvet bags.
214,1/2 mile
215,"No, the robbers were not still in the jewelry store when the police arrived."
216,The warrior wiped his soiled fingers on his wool shirt.
217,He ate his lunch at a table.
218,30 minutes.
219,The warrior wiped his soiled fingers on his wool shirt.
220,There is no mention of the warrior eating lunch.
221,The warrior had a long time to himself before the battle began.
222,The warrior wiped his soiled fingers on his wool shirt.
223,The inn.
224,1.
225,The warrior wiped his soiled fingers on his wool shirt.
226,The inn in the village.
227,The warrior had several hours to himself before the battle began.
