study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3,question_4,correct_answer_1,correct_answer_2
study3,C,03,3.txt,"The Forgotten ItemNora had been living in New York for two years while she waited for her big break as an actress.  During the day she attended acting classes and auditions, and at night she was a waitress in a small restaurant just off Broadway.  One night several cast members from the show in the theater down the street came in for dinner.  Nora recognized one of the women as the lead actress.  She worked up enough courage and went over to her.  Nora told her that she too was an actress and that she was a great admirer of hers.  The woman thanked Nora and promptly gave what the famous actress had given her.the ticket into her pocket and went off to fill their orders.  Nora noticed that the restaurant filled up with customers quickly and before long, she had a line of people waiting for tables.  Nora was already tired from being in class all day but she still enjoyed her job.  Not only did it provide her with a little money, but it also gave her a chance to meet some famous people.  Nora realized that getting acting jobs was difficult without making connections, so she needed to meet all the famous people that she could.  Eventually, Nora saw that the restaurant was beginning to quiet down and she started cleaning some of the tables.She started stacking plates on a cartto carry to the kitchen.  While shewhat she had found under the plates.stuck under some plates.  She placedthe wallet in the lost-and-found boxand returned to her work. After therestaurant closed, Nora sat and had a cupof coffee.  She was tired and glad shecould finally sit.  Nora had been workingfor eight hours and she needed a break.Another waitress joined Nora and asked her3her a ticket to her show.  Nora slipped ","['What did the famous actress give Nora?', 'What did Nora find under the plates?', 'How long had Nora been working that night?', 'Where did Nora live?']",A ticket to the show.,The ticket.,The waitress said she had been working for three hours.,"New York City, New York, United States",ticket,wallet
study3,D,03,3.txt,"The Forgotten ItemNora had been living in New York for two years while she waited for her big break as an actress.  During the day she attended acting classes and auditions, and at night she was a waitress in a small restaurant just off Broadway.  One night several cast members from the show in the theater down the street came in for dinner.  Nora recognized one of the women as the lead actress.  She worked up enough courage and went over to her.  Nora told her that she too was an actress and that she was a great admirer of hers.  The woman thanked Nora and promptly gave what the famous actress had given her.the ticket into her pocket and went off to fill their orders.  Nora noticed that the restaurant filled up with customers quickly and before long, she had a line of people waiting for tables.  Nora was already tired from being in class all day but she still enjoyed her job.  Not only did it provide her with a little money, but it also gave her a chance to meet some famous people.  Nora realized that getting acting jobs was difficult without making connections, so she needed to meet all the famous people that she could.  Eventually, Nora saw that the restaurant was beginning to quiet down and she started cleaning some of the tables.She started stacking plates on a cartto carry to the kitchen.  While shewhat she had found under the plates.stuck under some plates.  She placedthe wallet in the lost-and-found boxand returned to her work. After therestaurant closed, Nora sat and had a cupof coffee.  She was tired and glad shecould finally sit.  Nora had been workingfor eight hours and she needed a break.Another waitress joined Nora and asked her3was cleaning tables, Nora found a wallet ","['What did the famous actress give Nora?', 'What did Nora find under the plates?', 'How long had Nora been working that night?', 'Where did Nora live?']",A ticket into the theater.,The wallet!,About 15 minutes,New York.,ticket,wallet
study3,A,04,4.txt,"Shattered GoodsMartha had been working as a sales clerk in a small gift shop for only a few weeks when the manager asked her to take over as the head sales clerk during the day shift.  One morning when she came in, she anything had been broken.had been broken.  Martha figured thatthe night girl had broken and failed to replace the vase because the shop had been very busy lately.  The shop had also been very busy during the day, and it was hard for Martha to take care of all the customers at once.  Martha found that she had to help one customer and then immediately turn to another.  Martha told the manager that she really needed some help during the day because she was probably losing customers since she couldn't help everyone.  The manager agreed with Martha and told her he would try and get some help for her.  Martha wanted to get somebody for the next day.  However, she also knew she should take an inventory before the manager hired somebody.  The shop had many expensive things and Martha wanted to make sure nothing was missing.  While checking theanything had been stolen.was missing.  Martha figured that acustomer must have stolen the watch whilethe shop was busy.  She continued herinventory and was pleased that nothingelse was missing.  By five o'clock,Martha was really tired and glad she wasgoing home.  She put on her coat andheaded for the door.  Just then, themanager called to tell her that he hadjust hired someone.  He also asked her if3found that one of the expensive vases","['What had been broken in the shop?', 'What had been stolen from the shop?', 'Why did Martha want to hire somebody?', 'What time did Martha decide to go home?']",The vase that was broken.,A vase with a small rose on it.,I wanted to take a look at the vase.,Martha decided to leave the store at 3:30 pm.,vase,watch
study3,B,04,4.txt,"Shattered GoodsMartha had been working as a sales clerk in a small gift shop for only a few weeks when the manager asked her to take over as the head sales clerk during the day shift.  One morning when she came in, she anything had been broken.had been broken.  Martha figured thatthe night girl had broken and failed to replace the vase because the shop had been very busy lately.  The shop had also been very busy during the day, and it was hard for Martha to take care of all the customers at once.  Martha found that she had to help one customer and then immediately turn to another.  Martha told the manager that she really needed some help during the day because she was probably losing customers since she couldn't help everyone.  The manager agreed with Martha and told her he would try and get some help for her.  Martha wanted to get somebody for the next day.  However, she also knew she should take an inventory before the manager hired somebody.  The shop had many expensive things and Martha wanted to make sure nothing was missing.  While checking theanything had been stolen.was missing.  Martha figured that acustomer must have stolen the watch whilethe shop was busy.  She continued herinventory and was pleased that nothingelse was missing.  By five o'clock,Martha was really tired and glad she wasgoing home.  She put on her coat andheaded for the door.  Just then, themanager called to tell her that he hadjust hired someone.  He also asked her if3display case, she found that a watch","['What had been broken in the shop?', 'What had been stolen from the shop?', 'Why did Martha want to hire somebody?', 'What time did Martha decide to go home?']","The vase, which was the only broken item in the shop.",The first thing that Martha noticed was broken glass.,Because she knew that the employee she was going to hire would help her out a lot.,"At 2:45 PM! ""I didn't have any time to think about going home.",vase,watch
study3,C,04,4.txt,"Pilfered GoodsMartha had been working as a sales clerk in a small gift shop for only a few weeks when the manager asked her to take over as the head sales clerk during the day shift.  One morning when she came in, she anything had been broken.had been broken.  Martha figured thatthe night girl had broken and failed to replace the vase because the shop had been very busy lately.  The shop had also been very busy during the day, and it was hard for Martha to take care of all the customers at once.  Martha found that she had to help one customer and then immediately turn to another.  Martha told the manager that she really needed some help during the day because she was probably losing customers since she couldn't help everyone.  The manager agreed with Martha and told her he would try and get some help for her.  Martha wanted to get somebody for the next day.  However, she also knew she should take an inventory before the manager hired somebody.  The shop had many expensive things and Martha wanted to make sure nothing was missing.  While checking theanything had been stolen.was missing.  Martha figured that acustomer must have stolen the watch whilethe shop was busy.  She continued herinventory and was pleased that nothingelse was missing.  By five o'clock,Martha was really tired and glad she wasgoing home.  She put on her coat andheaded for the door.  Just then, themanager called to tell her that he hadjust hired someone.  He also asked her if3found that one of the expensive vases","['What had been broken in the shop?', 'What had been stolen from the shop?', 'Why did Martha want to hire somebody?', 'What time did Martha decide to go home?']","The vase, as well as several other expensive things that they had been selling.",Nothing,Martha wanted to get somebody for the next day.,When the shop was busy,vase,watch
study3,D,04,4.txt,"Pilfered GoodsMartha had been working as a sales clerk in a small gift shop for only a few weeks when the manager asked her to take over as the head sales clerk during the day shift.  One morning when she came in, she anything had been broken.had been broken.  Martha figured thatthe night girl had broken and failed to replace the vase because the shop had been very busy lately.  The shop had also been very busy during the day, and it was hard for Martha to take care of all the customers at once.  Martha found that she had to help one customer and then immediately turn to another.  Martha told the manager that she really needed some help during the day because she was probably losing customers since she couldn't help everyone.  The manager agreed with Martha and told her he would try and get some help for her.  Martha wanted to get somebody for the next day.  However, she also knew she should take an inventory before the manager hired somebody.  The shop had many expensive things and Martha wanted to make sure nothing was missing.  While checking theanything had been stolen.was missing.  Martha figured that acustomer must have stolen the watch whilethe shop was busy.  She continued herinventory and was pleased that nothingelse was missing.  By five o'clock,Martha was really tired and glad she wasgoing home.  She put on her coat andheaded for the door.  Just then, themanager called to tell her that he hadjust hired someone.  He also asked her if3display case, she found that a watch","['What had been broken in the shop?', 'What had been stolen from the shop?', 'Why did Martha want to hire somebody?', 'What time did Martha decide to go home?']",The vase.,A watch,Because the store had been really busy lately.,Martha was tired and felt she had to go home.,vase,watch
study3,A,05,5.txt,"Light LuggageMax had been driving a cab for a long time.  Often he would drive a customer to the airport, about thirty miles away, to catch a plane.  Usually he dreaded these trips because he had to drive all the way back alone and he got pretty bored.  This time he was called to pick up a man at a nearby hotel and drive him to the airport.  When he saw him, he was encouraged because the man was wearing an expensive suit and Max thought he would get a good tip.  The man carried only had been carrying anything.happy because he didn't have to load the briefcase or anything else in the trunk.  Max tried to start a conversation with him but the man didn't answer any of his questions so Max gave up and concentrated on his driving.  He knew this trip by heart since he had made it so many times.  Max turned on the radio to pass the time but the man became angry and told Max to shut it off.  Max thought that if the man was angry, he wouldn't get a tip so he shut the radio off quickly.  Max noticed the traffic was especially heavy and he couldn't wait to get out of the city.  He decided to take a short cut and beat the traffic.  Finally, he reached the airport.  He drove to the terminal and let the fellow off.  The man gave Max a huge tip but never said a word.  Max watched the man whisper something to the had spoken with anyone.Max saw the porter smile and nod his head. Then Max drove back to the stand.  Hewas getting tired and thought he wouldcash out and go home.  While Max wascashing out, an F.B.I. agent came in.He wanted to talk to Max so Max finishedcashing out and sat down.  The agentwanted to know about the man Max had takento the airport.  He asked Max if the man 3a briefcase in his hand, and Max was ","[""What was Max's passenger carrying?"", ""Who did Max's passenger speak to?"", 'Where was Max taking the man?', 'Did the man give Max a tip?']",A suitcase and a briefcase.,Was this the man who gave Max the good tip?  ,To the airport.,"Yes, the man gave Max a $100 tip.",briefcase,porter
study3,B,05,5.txt,"Light LuggageMax had been driving a cab for a long time.  Often he would drive a customer to the airport, about thirty miles away, to catch a plane.  Usually he dreaded these trips because he had to drive all the way back alone and he got pretty bored.  This time he was called to pick up a man at a nearby hotel and drive him to the airport.  When he saw him, he was encouraged because the man was wearing an expensive suit and Max thought he would get a good tip.  The man carried only had been carrying anything.happy because he didn't have to load the briefcase or anything else in the trunk.  Max tried to start a conversation with him but the man didn't answer any of his questions so Max gave up and concentrated on his driving.  He knew this trip by heart since he had made it so many times.  Max turned on the radio to pass the time but the man became angry and told Max to shut it off.  Max thought that if the man was angry, he wouldn't get a tip so he shut the radio off quickly.  Max noticed the traffic was especially heavy and he couldn't wait to get out of the city.  He decided to take a short cut and beat the traffic.  Finally, he reached the airport.  He drove to the terminal and let the fellow off.  The man gave Max a huge tip but never said a word.  Max watched the man whisper something to the had spoken with anyone.Max saw the porter smile and nod his head. Then Max drove back to the stand.  Hewas getting tired and thought he wouldcash out and go home.  While Max wascashing out, an F.B.I. agent came in.He wanted to talk to Max so Max finishedcashing out and sat down.  The agentwanted to know about the man Max had takento the airport.  He asked Max if the man 3porter as he entered the airport.","[""What was Max's passenger carrying?"", ""Who did Max's passenger speak to?"", 'Where was Max taking the man?', 'Did the man give Max a tip?']",A briefcase filled with cash.,The porter.,"I don't know, I have no idea.","No, he didn't even speak to him.",briefcase,porter
study3,C,05,5.txt,"The Mysterious ConfidantMax had been driving a cab for a long time.  Often he would drive a customer to the airport, about thirty miles away, to catch a plane.  Usually he dreaded these trips because he had to drive all the way back alone and he got pretty bored.  This time he was called to pick up a man at a nearby hotel and drive him to the airport.  When he saw him, he was encouraged because the man was wearing an expensive suit and Max thought he would get a good tip.  The man carried only had been carrying anything.happy because he didn't have to load the briefcase or anything else in the trunk.  Max tried to start a conversation with him but the man didn't answer any of his questions so Max gave up and concentrated on his driving.  He knew this trip by heart since he had made it so many times.  Max turned on the radio to pass the time but the man became angry and told Max to shut it off.  Max thought that if the man was angry, he wouldn't get a tip so he shut the radio off quickly.  Max noticed the traffic was especially heavy and he couldn't wait to get out of the city.  He decided to take a short cut and beat the traffic.  Finally, he reached the airport.  He drove to the terminal and let the fellow off.  The man gave Max a huge tip but never said a word.  Max watched the man whisper something to the had spoken with anyone.Max saw the porter smile and nod his head. Then Max drove back to the stand.  Hewas getting tired and thought he wouldcash out and go home.  While Max wascashing out, an F.B.I. agent came in.He wanted to talk to Max so Max finishedcashing out and sat down.  The agentwanted to know about the man Max had takento the airport.  He asked Max if the man 3a briefcase in his hand, and Max was ","[""What was Max's passenger carrying?"", ""Who did Max's passenger speak to?"", 'Where was Max taking the man?', 'Did the man give Max a tip?']",A briefcase,The agent wanted to know how the man knew the hotel was so close.,The airport.,No.,briefcase,porter
study3,D,05,5.txt,"The Mysterious ConfidantMax had been driving a cab for a long time.  Often he would drive a customer to the airport, about thirty miles away, to catch a plane.  Usually he dreaded these trips because he had to drive all the way back alone and he got pretty bored.  This time he was called to pick up a man at a nearby hotel and drive him to the airport.  When he saw him, he was encouraged because the man was wearing an expensive suit and Max thought he would get a good tip.  The man carried only had been carrying anything.happy because he didn't have to load the briefcase or anything else in the trunk.  Max tried to start a conversation with him but the man didn't answer any of his questions so Max gave up and concentrated on his driving.  He knew this trip by heart since he had made it so many times.  Max turned on the radio to pass the time but the man became angry and told Max to shut it off.  Max thought that if the man was angry, he wouldn't get a tip so he shut the radio off quickly.  Max noticed the traffic was especially heavy and he couldn't wait to get out of the city.  He decided to take a short cut and beat the traffic.  Finally, he reached the airport.  He drove to the terminal and let the fellow off.  The man gave Max a huge tip but never said a word.  Max watched the man whisper something to the had spoken with anyone.Max saw the porter smile and nod his head. Then Max drove back to the stand.  Hewas getting tired and thought he wouldcash out and go home.  While Max wascashing out, an F.B.I. agent came in.He wanted to talk to Max so Max finishedcashing out and sat down.  The agentwanted to know about the man Max had takento the airport.  He asked Max if the man 3porter as he entered the airport.","[""What was Max's passenger carrying?"", ""Who did Max's passenger speak to?"", 'Where was Max taking the man?', 'Did the man give Max a tip?']",A briefcase The agent asked what the man was carrying in his briefcase and Max told him.,The porter.,The airport.,Yes.,briefcase,porter
study3,A,06,6.txt,"The Overlooked ApplianceNancy had lived in a dormitory for three years and wanted to live in an apartment for her last year at college.  Early in the summer, she found an apartment and agreed to move in before school started.  In the fall, Nancy borrowed her father's car, packed her belongings and headed for the apartment.  During the ride, she realized that she had forgotten her what she had forgotten at home.to go back and get the microwave.  Nancy was excited about her new apartment and couldn't wait to move in.  She also liked the area and thought she might live there permanently. As she continued to drive, Nancy noticed that the streets were beginning to become familiar.  Nancy decided to stop in town and get some things for the apartment before unpacking.  She knew she would need some cleaners because the apartment had looked dirty.  She had just reached the center of town when a car in front of her came to a sudden stop.  Nancy slammed on her brakes and as she did, everything in the car went flying.  Nancy pulled over and looked in the back of the car.  She was what had spilled in the car.spilled. She hoped that she would be ableto clean up all of the perfume.  By thetime she got to the apartment, herroommate was already there and unpacked.Nancy was glad to see that her roommatehad already cleaned the apartment.  As shehelped Nancy unload the car, she asked her3microwave.  However, she decided not ","['What did Nancy forget at home?', 'What had spilled in the car?', 'Where was Nancy driving to?', 'Whose car did Nancy have?']",She forgot the microwave.,Her microwave.,A friend's house.,Her own.,microwave,perfume
study3,B,06,6.txt,"The Overlooked ApplianceNancy had lived in a dormitory for three years and wanted to live in an apartment for her last year at college.  Early in the summer, she found an apartment and agreed to move in before school started.  In the fall, Nancy borrowed her father's car, packed her belongings and headed for the apartment.  During the ride, she realized that she had forgotten her what she had forgotten at home.to go back and get the microwave.  Nancy was excited about her new apartment and couldn't wait to move in.  She also liked the area and thought she might live there permanently. As she continued to drive, Nancy noticed that the streets were beginning to become familiar.  Nancy decided to stop in town and get some things for the apartment before unpacking.  She knew she would need some cleaners because the apartment had looked dirty.  She had just reached the center of town when a car in front of her came to a sudden stop.  Nancy slammed on her brakes and as she did, everything in the car went flying.  Nancy pulled over and looked in the back of the car.  She was what had spilled in the car.spilled. She hoped that she would be ableto clean up all of the perfume.  By thetime she got to the apartment, herroommate was already there and unpacked.Nancy was glad to see that her roommatehad already cleaned the apartment.  As shehelped Nancy unload the car, she asked her3disappointed to see that her perfume had","['What did Nancy forget at home?', 'What had spilled in the car?', 'Where was Nancy driving to?', 'Whose car did Nancy have?']",Her car.,The perfume that she spilled in the car.,The Overlooked ApplianceNancy had lived in a dormitory for three years and wanted to live in an apartment for her last year at college.,Her husband's car,microwave,perfume
