,0
91,The criminals new hiding place was a seemingly abandoned house.
92,"Yes, the police apprehended the criminal in a timely manner."
93,The criminal wished he still had the rusty chisel.
94,The criminals new hiding place was a seemingly abandoned house.
95,"Yes, the police apprehended the criminal in a timely manner."
96,The daughter was battling advanced cancer.
97,The gift store was located several blocks away from the hospital.
98,The father waited for the elevator.
99,The daughter was battling advanced cancer.
100,The gift store was located several blocks away from the hospital.
101,The father waited for the elevator.
102,The daughter was battling advanced smallpox.
103,The gift store was located several blocks away from the hospital.
104,The father waited for the elevator.
105,The daughter was battling advanced smallpox.
106,The gift store was located several blocks away from the hospital.
107,The father waited for the elevator.
108,The music instructor loved playing the piano.
109,The music instructor gave her lessons in her students' homes.
110,"The music instructor saw three students today: Anya, Amy, and Jose."
111,The music instructor loved playing the piano.
112,The music instructor gave her lessons in her students' homes.
113,"The music instructor saw three students today: Anya, Amy, and Jose."
114,The instructor loved playing the shabby viola.
115,The music instructor gave her lessons in her students' homes.
116,"The music instructor saw three students today: Anya, Amy, and Jose."
117,The instructor loved playing the shabby viola.
118,The music instructor gave her lessons in her students' homes.
119,"The music instructor saw three students today: Anya, Amy, and Jose."
120,A sailboat.
121,The restaurant was located several miles away at the other end of town.
122,They arrived thirty minutes late for their reservation.
123,A sailboat.
124,The restaurant was located several miles away at the other end of town.
125,They arrived thirty minutes late for their reservation.
126,schooner
127,The restaurant was located several miles away at the other end of town.
128,They arrived thirty minutes late for their reservation.
129,schooner
130,The restaurant was located several miles away at the other end of town.
131,They arrived thirty minutes late for their reservation.
132,The wooden table in the dining room.
133,Joseph first looked for a suitable box in the remaining empty boxes in their apartment.
134,Joseph's search for a box that would suit their purposes took half an hour.
135,The wooden table in the dining room.
136,Joseph first looked for a suitable box in the remaining empty boxes in their apartment.
137,Joseph's search for a box that would suit their purposes took half an hour.
138,The wooden futon.
139,Joseph first looked for a suitable box in the remaining empty boxes in their apartment.
140,Joseph's search for a box that would suit their purposes took half an hour.
141,The wooden futon.
142,Joseph first looked for a suitable box in the remaining empty boxes in their apartment.
143,Joseph's search for a box that would suit their purposes took half an hour.
144,The fluffy animal Jenna picked up from the vet is the Narayan's dog.
145,Jenna walked to the veterinary clinic.
146,Jenna's errand took her approximately 4 hours.
147,The fluffy animal Jenna picked up from the vet is the Narayan's dog.
148,Jenna walked to the veterinary clinic.
149,Jenna's errand took approximately 4 hours.
150,Jenna picked up a fluffy hamster from the vet.
151,Jenna walked to the veterinary clinic.
152,Jenna's errand took approximately 4 hours.
153,Jenna picked up a fluffy hamster from the vet.
154,Jenna walked to the veterinary clinic.
155,Jenna's errand took approximately 4 hours.
156,Apples
157,"No, Jessie did not arrive at the judge's tent in a timely manner."
158,"Jessie was on the wrong side of the vast fair, so she was a considerable distance away from the judge's tent."
159,Apples
160,"No, Jessie did not arrive at the judge's tent in a timely manner."
161,"Jessie was on the wrong side of the vast fair, so she was a considerable distance away from the judge's tent."
162,Mangos
163,"No, Jessie did not arrive at the judge's tent in a timely manner."
164,"Jessie was on the wrong side of the vast fair, so she was a considerable distance away from the judge's tent."
165,Mangos
166,"No, Jessie did not arrive at the judge's tent in a timely manner."
167,"Jessie was on the wrong side of the vast fair, so she was a considerable distance away from the judge's tent."
168,Keisha left her glossy magazine on the bench.
169,Keisha had several issues getting to work.
170,"No, Keisha did not arrive at work in a timely manner."
171,Keisha left her glossy magazine on the bench.
172,Keisha had several issues getting to work.
173,"No, Keisha did not arrive at work in a timely manner."
174,Keisha left her glossy pamphlet on the bench.
175,Keisha had several issues getting to work.
176,"No, Keisha did not arrive at work in a timely manner."
177,Keisha left her glossy pamphlet on the bench.
178,Keisha had several issues getting to work.
179,"No, Keisha did not arrive at work in a timely manner."
180,The bloody knife.
181,Ryan found his kit for processing crime scenes at his house.
182,It took Ryan an hour to find his kit.
183,The bloody knife.
184,Ryan found his kit for processing crime scenes at his house.
185,It took Ryan an hour to find his kit.
186,The bloody club.
187,Ryan found his kit for processing crime scenes at his house.
188,It took Ryan an hour to find his kit.
189,The bloody club.
190,Ryan found his kit for processing crime scenes at his house.
191,It took Ryan an hour to find his kit.
192,The passage does not specify the exact piece of trendy clothing Sarah bought for her sister.
193,Sarah had several hours before she needed to be back home for the birthday dinner.
194,The mall.
195,The passage does not specify the exact piece of trendy clothing Sarah bought for her sister.
196,Sarah had several hours before she needed to be back home for the birthday dinner.
197,The mall.
198,A skirt.
199,Sarah had several hours before she needed to be back home for the birthday dinner.
200,The mall.
201,A skirt.
202,Sarah had several hours before she needed to be back home for the birthday dinner.
203,The mall.
204,Diamonds
205,"The woman traveled from the jewelry store to the bank, then continued down the road, and finally cut across a construction site before she remembered the cell phone in her purse."
206,The passage does not provide information about the robbers' whereabouts when the police arrived.
207,Diamonds
208,"The woman traveled from the jewelry store to the bank, then continued down the road, and finally cut across a construction site before she remembered the cell phone in her purse."
209,The passage does not provide information about the robbers' whereabouts when the police arrived.
210,The robbers scooped opals into velvet bags.
211,"The woman traveled from the jewelry store to the bank, then continued down the road, and finally cut across a construction site before she remembered the cell phone in her purse."
212,The passage does not provide information about the robbers' whereabouts when the police arrived.
213,The robbers scooped opals into velvet bags.
214,"The woman traveled from the jewelry store to the bank, then continued down the road, and finally cut across a construction site before she remembered the cell phone in her purse."
215,The passage does not provide information about the robbers' whereabouts when the police arrived.
216,The warrior wiped his soiled fingers on his cotton shirt.
217,The warrior ate his lunch at an inn.
218,The warrior had several hours to himself before the battle began.
219,The warrior wiped his soiled fingers on his cotton shirt.
220,The warrior ate his lunch at an inn.
221,The warrior had several hours to himself before the battle began.
222,The warrior wiped his soiled fingers on his cotton scarf.
223,The warrior ate his lunch at an inn.
224,The warrior had several hours to himself before the battle began.
225,The warrior wiped his soiled fingers on his cotton scarf.
226,The warrior ate his lunch at an inn.
227,The warrior had several hours to himself before the battle began.
