,0
137,1 hour and 30 minutes.
138,The wooden futon.
139,The remaining empty boxes in their apartment.
140,1 hour.
141,The wooden futon.
142,The remaining empty boxes in their apartment.
143,1 hour.
144,The Narayan's fluffy dog.
145,Jenna walked to the veterinary clinic.
146,4 hours and 30 minutes.
147,The fluffy dog.
148,Jenna walked to the veterinary clinic.
149,4 hours and 30 minutes.
150,The fluffy hamster.
151,Jenna walked to the veterinary clinic.
152,4 hours and 30 minutes.
153,The fluffy hamster.
154,Jenna walked to the veterinary clinic.
155,4 hours and 30 minutes.
156,Apples.
157,"No, Jessie did not arrive at the judge's tent in a timely manner."
158,2 miles.
159,Apples.
160,"No, Jessie did not arrive at the judge's tent in a timely manner."
161,2 miles.
162,Mangos.
163,"No, Jessie did not arrive at the judge's tent in a timely manner."
164,2 miles.
165,Mangos.
166,"No, Jessie did not arrive at the judge's tent in a timely manner."
167,2 miles.
168,A magazine.
169,Keisha had several issues getting to work.
170,"No, she did not."
171,A magazine.
172,Keisha had several issues getting to work.
173,"No, she did not."
174,The glossy pamphlet.
175,Keisha had several issues getting to work.
176,"No, she did not."
177,The glossy pamphlet.
178,Keisha had several issues getting to work.
179,"No, she did not."
180,The bloody knife.
181,At his house.
182,1 hour.
183,The bloody knife.
184,At his house.
185,1 hour.
186,The bloody club lying ominously in the doorway.
187,At his house.
188,1 hour.
189,The bloody club lying ominously in the doorway.
190,At his house.
191,1 hour.
192,The question cannot be answered based on the text.
193,4 hours.
194,The mall.
195,The question cannot be answered based on the text.
196,4 hours.
197,The mall.
198,A trendy skirt.
199,4 hours.
200,The mall.
201,A skirt.
202,4 hours.
203,The mall.
204,Diamonds.
205,"The woman traveled a half hour to the door, a half hour to the street, a half hour to the bank, and then a half hour to the construction site."
206,"No, the robbers were not still in the jewelry store when the police arrived."
207,Diamonds.
208,"The woman traveled a half hour to the bank, and then another half hour to the construction site."
209,"No, the robbers were not still in the jewelry store when the police arrived."
210,Opals.
211,"The woman traveled a half hour to the bank, and then another half hour to the construction site."
212,"No, the robbers were not still in the jewelry store when the police arrived."
213,Opals.
214,"The woman traveled a half hour to the bank, and then another half hour to the construction site."
215,"No, the robbers were not still in the jewelry store when the police arrived."
216,The warrior wiped his soiled fingers on his cotton shirt.
217,The inn in the village.
218,The warrior had several hours to himself before the battle began.
219,The warrior wiped his soiled fingers on his cotton shirt.
220,The inn in the village.
221,The warrior had several hours to himself before the battle began.
222,The cotton scarf.
223,The inn in the village.
224,The warrior had several hours to himself before the battle began.
225,The cotton scarf.
226,The inn in the village.
227,The warrior had several hours to himself before the battle began.
