study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3
study_1,A,12,p12A.txt,"Jason and Jenna smiled at each other. It was a wonderful date so far. They climbed out of the vintage sailboat. They were both hungry and eager for their lunch reservation after spending time on the water. The restaurant was only a few steps away, right next to the dock. This restaurant was always busy because it boasted beautiful views from practically any table. It also had a reputation for culinary creativity and expertise. The first time Jason and Jenna ate there, they both agreed that they had never seen such beautiful presentation of the meals they ordered. They were looking forward to a similar experience today. Jason and Jenna hustled up the dock because they did not want to lose their reservation. They had to make this reservation almost three weeks in advance in order to have a window seat during the lunch rush. Jason and Jenna arrived at the restaurant five minutes later. They had made it on time. As they were shown to their table, Jason asked Jenna which part of their date she liked the best so far. Jenna quickly said that she really enjoyed her time in the vintage vessel. Then, Jason and Jenna picked up the menu and they prepared to order.","['In which type of vintage vessel did Jason and Jenna start their date?', 'Where was the restaurant located?', 'How long did they wait at the restaurant before they were seated?']",It was a vintage sailboat.,It was not far from the main entrance of the beachfront resort.,They both waited at the restaurant for about 20 minutes.
study_1,A,13,p13A.txt,"Delilah and Joseph were in the process of moving from Chicago to London. The biggest remaining task was to pack their apartment. The many smaller items had already been packed. All that remained were a couple of the bigger items. They grabbed the wooden table in the dining room and began to dissemble it together. Joseph searched the remaining empty boxes for one that was big enough. Glancing at the clock, Delilah realized that their friends would be coming over to help them in twenty minutes. She looked over at the boxes that Joseph was sorting through. Panicking, she realized that none were big enough. Joseph saw his wife's distress. He needed to find a solution to the problem, and quick. He grabbed the car keys and was about to head out to buy a box. Just then, he remembered something that could help their situation. He had purchased a large packing box yesterday that he hadn't put with the others. It was just across the hall in their storage locker. Joseph stepped across the hall and quickly located the target of his search. As he picked it up, his stomach grumbled. Unfortunately, there was no time to eat. Their friends would be here any moment. Joseph was about to head back to help Delilah pack the pieces of the wooden furniture when his phone rang. It was Delilah calling to let him know that the ""reinforcements"" had arrived.","['What piece of wooden furniture were Joseph and Delilah trying to pack?', 'Where did Joseph first look for a suitable box?', ""How long was Joseph's search for a box that would suit their purposes?""]",The wooden table that housed the kitchen table,The big box that he had bought yesterday.,About twenty minutes.
study_1,A,14,p14A.txt,"Jenna sat on the blue couch with a sigh. She was here for the weekend doing a job for Mr. and Mrs. Narayan. Jenna hoped to earn enough for her senior ski trip. All she needed to do was to care for their pets while they were away for the weekend. Jenna's first task was to pick up the Narayan's friendly dog from his vet appointment. She walked outside as small raindrops started to fall. Jenna didn't want to get too wet. She closed her umbrella and hopped into her Toyota. She would drive to the veterinary clinic, which was just a couple blocks away. Jenna backed the car down the driveway. It momentarily crossed her mind that the Narayans were lucky to have an animal clinic so close by. She had lost a pet once because she couldn't get it to the veterinarian quickly enough. Jenna sped through the beautiful neighborhood. Minutes later, she pulled into the parking lot of the veterinary clinic. She had made it in record time: five minutes! She ran inside and was happy to find there was no line. She wrote her name on the list and waited patiently. The receptionist called her name just a few minutes later. Jenna hurriedly signed the necessary papers while the receptionist walked into the back of the clinic. Jenna smiled as she saw the friendly animal come galloping into the room. Jenna took the leash from the receptionist and walked outside.","['Which friendly animal did Jenna pick up from the vet?', 'How did Jenna get to the veterinary clinic?', 'How long did the errand take Jenna?']",A large German Shepherd.,Jenna was in the back of her car when she saw the friendly dog coming from the front door.,"I took the dog to the vet clinic, then went back to pick up his food."
study_1,A,15,p15A.txt,"Jessie was excited to hear the results after her husband's participation in yesterday's competition. She knew that her husband grew the sweetest apples anywhere. The judges had already sampled them at the state fair yesterday and would meet with everyone today to share the results. Jessie entered the competition area. She needed to locate her husband at the judge's table before the judges arrived. There were so many different displays. Jessie felt overwhelmed. She didn't like navigating through unfamiliar areas. Hundreds of people moved through countless brown tables covered in hearty food. If she didn't find her husband at the judge's table soon, she might miss her opportunity to congratulate him when the judges announced the results. Additionally, she knew how much her presence would mean to him. Jessie took out her cell phone and called her husband. Oddly enough, she heard a phone ringing with her husband's unique ring tone from somewhere close behind her. Jessie turned around and laughed when she saw that her husband was only twenty steps away from where she was standing. Seconds later, Jessie arrived at the judge's table. She was just in time to see the three judges approach. Jessie was ecstatic when her husband's sweet fruit was announced as the grand prize winner. She jumped up and down in excitement as the oldest judge handed her husband a blue ribbon!","[""What type of sweet fruit did Jessie's husband enter into the competition?"", ""Did Jessie arrive at the judge's tent in a timely manner?"", ""How far away was Jessie at the start of the story from the judge's tent?""]",Apple.,Yes!,Jessie was just ten feet from the judge's tent.
study_1,A,16,p16A.txt,"Keisha looked around the bus stop with a sigh. She couldn't believe her car had broken down again. She sat on a wooden bench and pulled out her glossy paperback. The bench cut into the backs of her legs since she wasn't tall enough for her feet to touch the ground. She settled in to wait for the 8:57 bus. Keisha was anxious for the bus to arrive. Although she worked nearby, her knees had been giving her trouble and they made the short walk difficult. Four minutes later, the city bus rounded the corner. Keisha stood up and grabbed her things. She took a moment to stretch her legs. As she stood, she realized that her knees didn't feel too badly after all. Keisha decided to walk the block to her work. She watched the bus pull away. She was glad she had sat for a few minutes on the bench. It gave her knees a chance to loosen up. Keisha stepped away from the bus stop and briskly walked the two blocks to her office. She arrived at work five minutes later. At that moment, she realized that she had left her glossy book on the bench at the bus stop. She crossed her fingers that her car would be fixed by that afternoon, and she would be able to drive to work.","['What glossy book did Keisha leave on the bench?', 'What issues did Keisha have getting to work?', 'Despite her lack of car, did Keisha arrive at work in a timely manner?']","A copy of ""The Art of War.",Keisha had to take the subway to work.,Yes
study_1,A,17,p17A.txt,"It was late at night when Ryan, a rookie cop, responded to the call. He was eager to start the process that could eventually lead to an arrest. Ryan scanned the scene. His eyes immediately landed on the gleaming gun lying ominously in the doorway. He reached for his kit for processing crime scenes. Just then, he realized that it was missing. He needed to start remembering to arrive with all his equipment. His scatterbrained ways would get him in trouble some day. They had in the past. Ryan let out a frustrated groan. He panicked for a moment and wondered where his kit could be. There was no way he could collect any evidence without it. Then, Ryan remembered that he had left the kit in his car. His superiors hadn't arrived yet, so he sprinted outside to the front yard. It only took a minute. Ryan's car was parked in the driveway. Ryan whipped open the door and climbed inside. It only took him a few seconds to locate the kit. Ryan breathed a sigh of relief when it was safely in his hand. Mentally, Ryan prepared himself for the next steps he would take in processing the scene. He would start with analyzing the gleaming weapon found at the house. He would have to use the equipment to dust for fingerprints. Ryan knew that if he worked methodically, his thorough approach would produce results that would help to apprehend the guilty.","['What gleaming weapon was Ryan going to dust for fingerprints?', 'Where did Ryan end up finding his kit for processing crime scenes?', 'How long did Ryan search for his kit?']","It was just a Beretta 92, a 9mm pistol.",He had been assigned to the Special Victims Bureau.,He searched for approximately 30 minutes.
study_1,A,18,p18A.txt,"Sarah could hardly believe that her little sister was turning thirteen tomorrow. As usual, she had waited until the last minute to purchase her present. What would a new teenager want? Sarah recalled what was at the top of her wish list at that age: clothes. She was going to find her sister the perfect outfit. Well, maybe not an entire outfit, but Sarah would find her a pair of trendy pants. Sarah had only thirty minutes before she had to be back home for the birthday dinner. This meant she really needed to rush! She was glad she had come to this store to search for her sister's present. It was a chic boutique that catered to the tastes of the young and the fashionable. Her sister was very picky and only a few items would fit her style. Sarah surveyed the empty store. It would only take a few minutes to survey the inventory. Unfortunately, she didn't have the time to look for anything for herself. Her focus was completely on her sister. Sarah examined the first rack. Mere seconds later, she found it. It was the perfect piece of trendy clothing. Sarah knew her sister would love it. She pushed aside hangers in order to look for her sister's size. She found the correct one and walked to the register. She smiled, anticipating the pleased look on her sister's face.","['What piece of trendy clothing did Sarah buy for her sister?', 'How much time did Sarah have to shop before she needed to be back at home?', ""Where was the first place that Sarah tried to find her sister's birthday present?""]",The perfect pair of pants.,"One minute, one second.",Shoplifting.
study_1,A,19,p19A.txt,"The woman huddled on the floor. She watched the three men shatter the glass jewelry case with the butts of their guns. The men scooped the glitzy diamonds into black velvet bags. The woman was close to the door that the robbers had carelessly left open. Although scared, she decided to escape and to try to find help. The woman grabbed her purse and quickly slid across the floor. She launched herself through the doorway. Seconds later, she jumped to her feet And scampered around to the side of the building. She decided she'd be safe hiding there in the shadows. The woman spent a brief minute trying to calm her racing heart. She had to find a way to get help! She couldn't help but think of all those other customers in the jewelry store. They were helpless unless she could contact the authorities. At that moment, she remembered the cell phone in her pocket. Feeling stupid, she retrieved the phone, flipped it open, and hurriedly dialed 911. Seconds later, she told the operator that a robbery was taking place. When asked for the address, she replied that she didn't know. She also mentioned that thieves were grabbing the glitzy gems. The woman closed her cell phone, exhausted. She breathed a sigh of relief, thankful that she had been able to escape and call for help.","['What kind of glitzy gems did the robbers scoop into the velvet bags?', 'How far did the woman end up traveling before she remembered the cell', 'Were the robbers still in the jewelry store when the police arrived?']","The jewelry store had a large assortment of gold, platinum, and diamonds.","The woman, who had been walking for two hours, finally stopped to rest a little.",Nope.
study_1,A,20,p20A.txt,"The warrior sprung from his afternoon nap, ready for the battle that was a half hour away. He threw on his wool shirt, bothered not at all by its tattered condition or egregious smell. Many thoughts raced through his mind. He had fought many battles in his life, and had come close to dying several times. Today's battle was just a game, however; a competition to determine the best man in the land. He had fought many men over the years, many stronger than him. He had vanquished them all because combat is not about deploying one's strengths. Rather, it is about exploiting your opponent's weaknesses. These thoughts flowed through his mind. The warrior was hungry for a quick meal. He rifled through his stack of provisions. The warrior sat down to a bit of ale and an old drumstick. This was his traditional meal before battle. He had actually come to hate drumsticks, but was far too superstitious to change his menu at this point in his life. The warrior rapidly devoured the few morsels for the energy they provided. He finished the meal in a matter of minutes. He then pushed his chair back from the table. He walked to the large bowl of water in the corner and dropped to his knees. The warrior sank his hands into the water. He then wiped his soiled fingers on his wool clothing. Finally, he changed into his armor and prepared himself for battle.","['Which wool clothing item did the warrior wipe his soiled fingers on?', 'Where did the warrior eat his lunch?', 'How long did the warrior have to himself before the battle began?']","In this battle, an ancient warrior was in need of an upgrade.",In the corner of his room.,He had plenty of time.
study_1,B,01,p01B.txt,"Sophia straightened her suit, took a deep breath, and entered the hotel's bar, just off the lobby. She took a seat at an empty high-top table. She ordered an amber beer, hoping to calm her nerves. The waitress set Sophia's drink on the table and moved on. Before Sophia could even take a sip, her cell phone rang. It was the client calling to confirm their meeting in the lobby of the Madison Hotel. Sophia checked her watch and confirmed that their meeting would begin in two hours. She hung up her phone and took a deep breath. Sophia was not looking forward to meeting with this client. She spent the next half hour recalling how their last interaction had gone. His arrogant attitude always put her on edge. Sophia made room on the table for some papers and dumped the contents of her briefcase in front of her. She spent over an hour sorting through the documents and rehearsing her presentation. Then, Sophia realized she couldn't possibly be more prepared than she already was. Sophia signaled for the check and waited fifteen minutes for the waitress to total her tab. She walked slowly out of the bar and into the lobby. Sophia sighed when she noticed the client already sitting in a chair, waiting. He rose from his chair and instantly launched into a list of his complaints. Sophia pasted a smile on her face and found herself wishing for the amber beverage she left back in the bar. She mentally prepared herself for what was sure to be a difficult meeting.","['What amber beverage did Sophia leave back at the bar?', 'What did Sophia do before she left the bar?', 'Where was Sophia supposed to meet the client?']",I left a small bottle of tequila and a Corona bottle of rum in the bar.,Sophia did not do anything.,"The Madison Hotel, lobby."
study_1,B,02,p02B.txt,"Everyone squeezed into the family room, anxious to begin the treasure hunt, an annual family tradition. Joshua loved the party atmosphere and could hardly wait for the day's activities. Children pushed and giggled and the adults gossiped until the booming voice of the jolly uncle could be heard over the excited crowd. ""Everyone knows how this works,"" he shouted. ""I've hidden the family trophy. We end today's search at the park next door. Remember, the first one to find it receives the cash prize and bragging rights for a year. Same rules as always! Ready, set... Go!"" Joshua's heart fluttered in excitement. The trophy was hidden somewhere in the house. Joshua sat on the couch and took several minutes to think about his strategy. He wanted to escape the notice of the others before he started his search. He had a pretty good idea where the treasure might be hidden. Unfortunately, many of the adults stayed behind and talked since they hadn't seen each other in awhile. Joshua leaned back on the couch and stared at the bookcase across from him. He saw the edge of the trophy sticking out from behind some volumes on the top shelf. Trying to appear casual, he had to wait over an hour for everyone to leave. Finally, the room was clear! Joshua searched the room for something to stand on so he could reach the top shelf. Much later, he decided he must just carefully climb up the tall bookcase. He pulled the trophy from the top shelf. Joshua climbed down and shouted his success. The jolly relative rang a large bell to signal the end of the treasure hunt. Once everyone had gathered in the park, he picked up the excited boy and, holding him high, pronounced Joshua the winner. The family surrounded the boy with their congratulations; the younger ones helping Joshua celebrate his new windfall. Still laughing and talking, the family sat at the picnic table for the celebratory meal.","['Which jolly relative rang the bell to signal the end of the treasure hunt?', 'Where did Joshua look for the treasure first?', 'Where did this treasure hunt take place?']",The uncle who had helped him with his family's treasure hunt years before.,In the backyard.,A long time ago.
study_1,B,03,p03B.txt,"Wiping his brow with the kitchen towel, the chef paused for a moment in his preparations to survey the mess he had created. This meal had to be perfect, flawless from the appetizers to the dessert. Not wanting to waste time, he picked up the gleaming knife and continued to cut the vegetables for the salad. The timer sounded, signaling that it was time to apply the herb rub to the roast. Where did he put those spices? How could he have forgotten something like that on such an important day? He must have left them in his catering van. Discouraged, the chef couldn't believe that he wasn't prepared for this. Some of the city's most important people would be attending this dinner. These worries occupied the chef's mind for quite awhile. An hour later, a florist arrived to deliver the centerpieces. The chef spent a long time arguing with the florist about the best placement for the flowers as they set up the tables. Over an hour later, a pastry chef arrived with the desserts for the event. The chef stood up to look at the desserts. He spent a half hour talking to the chef about a future event he was catering where he would also need desserts. It was then that he spotted his box of spices sitting on the first table! He must have set it down on his way into the kitchen. The chef straightened his shoulders. He could envision how everything would go. He would first combine the spices in a bowl. Then, he would slide the seasoned roast back into the oven. Finally, he would use his gleaming utensil to complete the preparations. If tonight was successful, he could look forward to an exciting career in the catering business.","['Which gleaming utensil would the chef use to complete his preparations?', 'Given how long it took to retrieve his spices, should the chef have been so frustrated?', 'Where was the chef when he realized that he had forgotten his spice kit?']",A fork.,No.,He was out of the kitchen.
study_1,B,05,p05B.txt,"The two girls had never been to the zoo. This trip with their father, Jared, would be the first. The girls endlessly reminded their father that they had to see the fierce lion while they were there. Jared reminded his girls of the other animals that they could see but the girls would not be distracted from their goal. Jared helped his girls examine the zoo map at the entrance. The girls giggled as they made it a race to see who could find the exhibit first. Jared saw this as an opportunity. He spent the next hour teaching the girls how to read a map. The girls turned it into a game and asked Jared to quiz them by asking them to find different locations on the map. An hour passed before the older girl finally found the exhibit. The exhibit was only a few yards away. She grabbed her younger sister's hand and pulled on Jared's coat. The girls started running but then Jared called for them to slow down. Rounding a bend, they came to the exhibit. Jumping up and down in excitement, the girls could finally see the fierce animal in the distance. After the girls had their fill of looking at that exhibit, they smiled with satisfaction. The zoo had been a success.","[""Which fierce animal did Jared's girls want to see?"", ""How long did it take for Jared and his girls to travel from the zoo's entrance to the exhibit?"", ""Where was the exhibit located in relation to the zoo's entrance?""]",The lion,Approximately 30 minutes.,The exhibit was located where the girls had run to in the beginning of the hour.
study_1,B,06,p06B.txt,"The aviation mechanic buried his head in his work rag. He attempted to soak up some of the sweat streaming down his face. He had forgotten a few of his tools, including the one he needed for this repair. He kicked the plastic chair. He longed for the days when he was part of a line maintenance crew, making the simple checks and adjustments necessary before take-offs. He was up against a deadline, and he froze with fear. It took him a half hour to calm down. The mechanic looked around the hangar. He spent several minutes mourning the time he would lose looking for his tool. Eventually, he forced himself into action. The mechanic was about to trudge off toward his car when he tripped over his toolbox. As he got back to his feet, he saw his friend Sam walking over for a visit. They spent a couple of hours dissecting last night's game. When Sam finally left, the mechanic bent down to rummage through his toolbox. It took forever to locate the forgotten tool. Tired and hot, he rose to his feet. He thought about his problem controlling his temper. He felt foolish for kicking the plastic furniture earlier, when he was frustrated. Experience had told him that simple mistakes were nothing to get upset about. Problems usually resolved themselves in the end.","['What piece of plastic furniture did the mechanic kick out of frustration?', 'Where did the mechanic find his toolbox?', 'What was the first thing the mechanic did in order to find his toolbox?']",The plastic.,He was working on a repair on his car.,He went to his work area and gathered all of his tools.
study_1,B,07,p07B.txt,"Jason looked around his high school gymnasium. It was overwhelmed by the large number of booths, each representing a different career. He wanted to pursue a career in the field of education as a motivating teacher, so locating that information table was his top priority. Jason was grateful for the opportunity to learn more about a variety of jobs. His class requirement was to distribute a minimum of three resumes and participate in interviews today. Many of his classmates were frustrated with this requirement. Jason was one of them. He joined a couple of friends in the corner of the gym. They spent an hour complaining about having to attend this event. When his friends departed, Jason had no excuse to not participate in the career fair. He slowly made his way across the gym. He hoped he remembered to bring his paperwork. In particular, he needed his resumes so that he could distribute them. Jason had spent a tremendous amount of time collecting the requisite information, and formatting it in an appealing way. He was going to be in big trouble if he didn't have them. Jason dumped out the entire contents of his bag onto the gymnasium floor. A half hour later, he found his stack of resumes under the papers. Jason was relieved he had the necessary paperwork to start looking into the motivating career he was interested in. He stuffed the stack of resumes in his bag.","['What motivating career did Jason see himself doing in the future?', 'How long did it take for Jason to locate his resumes?', 'Where was the first place that Jason looked for his resumes?']",I can't think of any.,About twenty minutes.,The Career Fair!
