study,version,passage_num,passage_file,passage_text,questions,question_1,question_2,question_3
study2,a,12,p12a.txt,"Jason and Jenna smiled at each other. It was a wonderful date so far. They climbed out of the vintage sailboat. Jason and Jenna walked past a tiny canoe tied to the dock in front of them and continued their date. They were both hungry and eager for their lunch reservation after spending time on the water. The restaurant was several miles away at the other end of town. Their reservation was in a few hours, so Jason and Jenna took their time strolling through the picturesque streets. They both had gotten sunburned out on the water, so they stopped in the drug store to purchase some aloe. The store was crowded, and it took thirty minutes to find what they were looking for and complete the purchase. As they continued walking, they spotted a wine store. They walked into it and spent the next hour tasting different wines before settling on a bottle to purchase and bring to lunch. They held hands and slowly walked the last mile to the restaurant, arriving thirty minutes late for their reservation. As they were shown to their table, Jason asked Jenna which part of their date she liked the best so far. Jenna quickly said that she had really enjoyed her time in the vintage vessel best but that everything else had been lovely as well. Then, Jason and Jenna picked up the menu and they prepared to order.","['In which type of vintage vessel did Jason and Jenna start their date?', 'Where was the restaurant located?', 'How long did they wait at the restaurant before they were seated?']","Jason and Jenna were seated on the bow of a vintage sailboat, which had a canvas top.",It was just up the road from the diner.,They were seated thirty minutes before they were served.
study2,a,13,p13a.txt,"Delilah and Joseph were in the process of moving from Chicago to London. The biggest remaining task was to pack their apartment. The many smaller items had already been packed. All that remained were a couple of the bigger items. They grabbed the wooden table in the dining room and began to dissemble it together. Joseph searched the remaining empty boxes for one that was big enough. He was glad that they already packed the bulky sofa. Glancing at the clock, Delilah realized that their friends would be coming over to help them in three hours. They had plenty of time. It took half an hour for Joseph to sort through the remaining boxes. None were big enough. Joseph grabbed his keys and headed to the parking lot. After two miles of heavy traffic, he passed a post office. He parked and stood in the long line to get a change-of-address form. He filled it out, dropped it in the slot, and continued on his way. A few more miles in the heavy traffic brought him to the bank. He remembered that he needed to get money to pay the movers. He parked in the crowded lot and waited in the long line. A half hour later, the teller finally gave him his money. Back on the road, he found the traffic even heavier than before. It took an hour to travel the final two miles to the shipping store. It was very crowded, and it took forever to locate a sufficiently large packing box. There was only one cashier and it took forever to pay for the box. Joseph was about to head back to help Delilah pack the pieces of the wooden furniture when his phone rang. It was Delilah calling to let him know that the ""reinforcements"" had arrived.","['What piece of wooden furniture were Joseph and Delilah trying to pack?', 'Where did Joseph first look for a suitable box?', ""How long was Joseph's search for a box that would suit their purposes?""]",The table.,"I believe he came up with a cardboard box, but the idea of a ""small"" cardboard box is not present for Joseph.",He searched for over 48 hours.
study2,a,14,p14a.txt,"Jenna sat on the blue couch with a sigh. She was here for the weekend doing a job for Mr. and Mrs. Narayan. Jenna hoped to earn enough for her senior ski trip. All she needed to do was to care for their pets while they were away for the weekend. Jenna's first task was to pick up the Narayan's fluffy dog from his vet appointment. She stepped past the food dish of the Narayan's lazy cat and walked outside as small raindrops started to fall. Jenna didn't mind getting wet so she left her Toyota behind and opened her umbrella. She would walk to the veterinary clinic, which was all the way across town. An hour later, she walked past the bakery. Whenever Jenna ran errands, she would take a few moments to treat herself. She sat down and lingered over a cup of coffee and a pastry for the next hour. Jenna then continued her journey. She walked another mile, coming to a pet store. Inside, she looked around for an hour before purchasing treats for the Narayan's animals. After another mile of walking, Jenna finally came to the veterinary clinic. There was a long line, so she sank down into one of the chairs. She had to wait another thirty minutes until her name was called. Jenna hurriedly signed the necessary papers while the receptionist walked into the back of the clinic. Jenna smiled as she saw the fluffy animal come galloping into the room. Jenna took the paperwork from the receptionist and walked outside.","['What fluffy animal did Jenna pick up from the vet?', 'How did Jenna get to the veterinary clinic?', 'How long did the errand take Jenna?']",The fluffy animal was a golden retriever named Binky.,Jenna had walked to the veterinary clinic.,About 45 minutes total.
study2,a,15,p15a.txt,"Jessie was excited to hear the results after her husband's participation in yesterday's competition. She knew that her husband grew the sweetest apples anywhere. The judges had already sampled them at the state fair yesterday and would meet with everyone today to share the results. Jessie stepped past a table of tangy oranges and entered the competition area. She needed to locate her husband at the judge's table before the judges arrived. Jessie took out her cell phone and called her husband. She hoped he could give her clear directions to his location. After a brief and tense conversation, she realized that she was on the wrong side of the vast fair! Jessie hung up her phone and decided to enjoy this side of the fair before she met her husband. First, she waited in line for a half hour to get lemonade. For the next hour, she wandered among the booths. When she had seen everything she wanted to see, Jessie strolled back to her car. She drove the two miles to the other side of fair, where her husband was. The traffic was a mess. Forty-five minutes later, Jessie finally arrived at her destination. She perused the countless brown tables covered in hearty food. She stopped to use the restroom and had to wait in the longest line she had ever seen. A half hour later, she finally joined her husband at the judge's table just in time to see the three judges approach. Jessie was ecstatic when her husband's sweet fruit was announced as the grand prize winner. She jumped up and down in excitement as the oldest judge handed her husband a blue ribbon!","[""What type of sweet fruit did Jessie's husband enter into the competition?"", ""Did Jessie arrive at the judge's tent in a timely manner?"", ""At the start of the story, how far away was Jessie from the judge's tent?""]",It was a sweet apple!,"Yes, she arrived just in time for the judges to meet with everyone.","Jessie was a little less than a mile away from the tent, but there was already a line of people behind her and her husband."
study2,a,16,p16a.txt,"Keisha looked around the bus stop with a sigh. She couldn't believe her car had broken down again. She sat on a wooden bench and pulled out her glossy magazine. The bench cut into the backs of her legs since she wasn't tall enough for her feet to touch the ground. She pushed aside a tattered newspaper and settled in to wait for the 8:57 bus. She waited and waited but the bus never came. After a half hour, she realized that she had missed it. She had no other choice but to wait patiently for the 10:25 bus. It arrived almost an hour later. Tired and late for work, she took a seat near the front. The traffic was heavy, and the bus started to crawl the few miles to her work. After one mile, it stopped in front of the bakery. Several people slowly boarded. The bus continued along its slow journey. After another mile, it stopped in front of the grocery store. A large number of passengers boarded there. One mile later, the bus gave a jolt and rolled to a stop. It took an hour for a mechanic to arrive. It took another hour for him to fix the problem. Eventually, the bus shuddered back to life. The traffic was still heavy. A half hour later, the bus finally stopped in front of her work. At that moment, she realized that she had left her glossy reading material on the bench at the bus stop. She crossed her fingers that her car would be fixed by that afternoon, and she would be able to drive to work.","['What glossy reading material did Keisha leave on the bench?', 'What issues did Keisha have getting to work?', 'Despite her lack of car, did Keisha arrive at work in a timely manner?']",A glossy magazine.,Keisha has a commute of 40 miles each way to her job in Brooklyn.,Keisha arrived at work in a timely manner.
study2,a,17,p17a.txt,"It was late at night when Ryan, a rookie cop, responded to the call. He was eager to start the process that could eventually lead to an arrest. Ryan scanned the scene. His eyes immediately landed on the bloody knife lying ominously in the doorway. The only other scene he had investigated was one involving a silver gun. He reached for his kit for processing crime scenes. Just then, he remembered that he had left his kit for processing crime scenes at home. Ryan's superiors hadn't arrived yet, so he took his time walking to his car. Ryan climbed in and started to drive the several miles back to his house. The football game had just ended, and the traffic was heavy. A half hour later, Ryan passed a gas station. His tank was almost empty, so he pulled in and filled it up. The credit card machine was broken so he had to wait in line to pay inside. Afterwards, Ryan realized that he was hungry. He spent the next thirty minutes searching for a deli that was still open. When he found one, he bought a sandwich and a soft drink. He took them to the park across the street and enjoyed the snack. When he finally arrived at his house, it took him an hour to find his kit. Mentally, Ryan prepared himself for the next steps he would take in processing the scene. He would start by analyzing the bloody weapon that he found at the house. He would have to use the equipment to dust for fingerprints. Ryan knew that if he worked methodically, his thorough approach would produce results that would help to apprehend the guilty.","['What bloody weapon was Ryan going to dust for fingerprints?', 'Where did Ryan end up finding his kit for processing crime scenes?', 'How long did Ryan search for his kit?']",Ryan knew that a knife was the only weapon he could find at the scene of the crime.,Ryan found his kit at home.,Ryan searched for his kit for about an hour.
study2,a,18,p18a.txt,"Sarah could hardly believe that her little sister was turning thirteen tomorrow. As usual, she had waited until the last minute to purchase her present. What would a new teenager want? Sarah recalled what was at the top of her wish list at that age: clothes. She was going to find her sister the perfect outfit. Well, maybe not an entire outfit, but Sarah would find her sister a perfect trendy shirt. She wouldn't buy paisley pants like her mother had purchased for a gift. Sarah had several hours before she needed to be back home for the birthday dinner. She strolled out to her car. She carefully backed out of the driveway and drove into town. An hour later, Sarah arrived at the mall. Sarah took her time negotiating through the crowds. She browsed for herself before focusing on her sister. Two hours later, Sarah had not found anything she or her sister would like. She returned to her car and drove several more miles through thick traffic. As she passed the hair salon, she decided that she had time to update her highlights. Two hours later, she felt like a new woman. She hopped back into her car and drove on. She arrived at the outlet store and made her way inside. She spent an hour searching through the racks of merchandise. That's when she found it. It was the perfect piece of trendy clothing and she knew her sister would love it. Sarah pushed aside hangers in order to look for her sister's size. She found the correct one and walked to the register. She smiled, anticipating the pleased look on her sister's face.","['What piece of trendy clothing did Sarah buy for her sister?', 'How much time did Sarah have to shop before she needed to be back at home?', ""Where was the first place that Sarah tried to find her sister's birthday present?""]",A new shirt.,About twenty minutes.,The hair salon.
study2,a,19,p19a.txt,"The woman huddled on the floor. She watched the three men shatter the glass jewelry case with the butts of their guns. The men scooped the glitzy diamonds into black velvet bags. The woman was hidden behind the case filled with crimson rubies. She was close to the door that the robbers had carelessly left open. Although scared, she decided to escape and to try to find help. The woman grabbed her purse and slowly crawled across the floor. A half hour passed before the robbers were distracted enough for her to pass through the door frame. She crawled slowly, careful to avoid jostling the door. Once outside, she proceeded cautiously down the street, keeping to the shadows to avoid being spotted by a lookout. A half hour later, she came to a bank. She tried to find help, but it was closed. She continued carefully down the road. Not finding anyone, she cut across a construction site. She tripped over a concrete block, hit her head on a girder, and sunk into unconsciousness. When she finally woke several hours later, her head really hurt. At this point, she finally remembered the cell phone in her pocket. Feeling stupid, she retrieved it and carefully dialed 911. A little while later, she told the operators that a robbery had taken place. She also mentioned that the thieves had taken glitzy gems from the jewelry store. The woman closed her cell phone. She was exhausted. She breathed a sigh of relief, thankful that she'd been able to escape and call for help.","['What kind of glitzy gems did the robbers scoop into velvet bags?', 'How far did the woman end up traveling before she remembered the cell phone in her purse?', 'Were the robbers still in the jewelry store when the police arrived?']",A lot of them.,She didn't know.,Yes.
study2,a,20,p20a.txt,"The warrior slowly awakened with the morning sun, unprepared for the battle that was still hours away. He threw on his cotton shirt, bothered not at all by its tattered condition or egregious smell. He set aside his leather hat and spent the next few hours polishing his armor before finally putting it on. He had fought many battles in his life, and had come close to dying several times. Today's battle was just a game, however; a competition to determine the best man in the land. He had fought many men over the years, many stronger than him. He had vanquished them all because combat is not about deploying one's strengths. Rather, it is about exploiting your opponent's weaknesses. These thoughts occupied him for hours. After this contemplation, the warrior realized that it would be a long time until his next meal. He slowly walked through the village in search of his favorite inn. The warrior sat down to a bit of ale and an old drumstick. This was his traditional meal before battle. He had actually come to hate drumsticks, but was far too superstitious to change his menu at this point in his life. He methodically consumed the few morsels for the energy they provided. Afterwards, he resumed his long journey. He traveled for several hours before stopping beside a peaceful brook. The warrior sank his hands into the water. He then wiped his soiled fingers on his cotton clothing before changing into his armor and preparing himself for battle.","['What cotton clothing item did the warrior wipe his soiled fingers on?', 'Where did the warrior eat his lunch?', 'How long did the warrior have to himself before the battle began?']",His cotton shirt.,"The warrior stopped in front of a brook, where he stopped to wash his hands before changing into his armor and preparing himself for battle.",He had been in solitude for quite some time when the warrior found himself staring into the eyes of a small boy.
study2,b,01,p01b.txt,"Sophia straightened her suit, took a deep breath, and entered the hotel's bar, just off the lobby. She took a seat at an empty high-top table. She ordered an amber beer, hoping to calm her nerves. The waitress arrived carrying Sophia's drink as well as an expensive bourbon. She set Sophia's order on the table and moved on. Before Sophia could even take a sip, her cell phone rang. It was the client calling to confirm their meeting in the lobby of the Madison Hotel. The Madison Hotel? Sophia was sitting in the wrong hotel. The Madison was several miles away! She maintained her composure and assured the client that their meeting together would begin in two hours. Sophia hung up her phone and reviewed her papers for the next hour before she left the hotel. By this time, it was raining heavily outside. Sophia stopped at the drugstore down the block to buy an umbrella. The store was crowded and it took half an hour to complete the purchase. Stepping back onto the street, she decided to walk instead of taking a cab. This would give her time to find her focus. An hour later, Sophia finally arrived at the Madison Hotel. Despite her umbrella, she was soaking wet so she headed to the restroom to freshen up. A half hour later, Sophia walked through the lobby where she saw the client impatiently waiting. He rose from his chair and instantly launched into a list of his complaints. Sophia pasted a smile on her face and found herself wishing for the amber beverage she left back in the bar. She mentally prepared herself for what was sure to be a difficult meeting.","['What amber beverage did Sophia leave back at the bar?', 'What did Sophia do before she left the bar?', 'Where was Sophia supposed to meet the client?']",A whiskey and coke.,She attended a meeting at the Madison Hotel.,The Madison Hotel!
study2,b,02,p02b.txt,"Everyone squeezed into the family room, anxious to begin the treasure hunt, an annual family tradition. Joshua loved the party atmosphere and could hardly wait for the day's activities. Children pushed and giggled and the adults gossiped until the booming voice of the jolly uncle could be heard over the excited crowd. ""Everyone knows how this works,"" he shouted. ""I've hidden the family trophy. We end today's search at the park next door. Remember, the first one to find it receives the cash prize and bragging rights for a year. Same rules as always! Ready, set... Go!"" A silly daughter pushed past everyone. Joshua's heart fluttered in excitement. The trophy was hidden somewhere in the neighborhood. Joshua wanted to be sure he wouldn't be followed. After a half hour of waiting, he was finally able to leave the house. He crept down several streets. Joshua peeked around a corner, and made his way past several houses. Twenty minutes later, he ducked around a corner when he spotted some cousins in the distance. He hid from them by crouching behind a rock. Thirty minutes later, he ran past several houses, arriving at the yard with the hollow tree. Climbing the fence, he tore his pants in his haste. Joshua walked to the other side, finally reaching the tree. Wrong one. He checked the other trees in the yard, finally coming to the last one several minutes later. Joshua peered inside and discovered the hidden treasure. He took some time to celebrate his victory. Then, Joshua grabbed the trophy and strolled to the park three blocks down. The jolly relative rang a large bell to signal the end of the treasure hunt. Once everyone had gathered in the park, he picked up the excited boy and, holding him high, pronounced Joshua the winner. The family surrounded the boy with their congratulations; the younger ones helping Joshua celebrate his new windfall. Still laughing and talking, the family sat at the picnic table for the celebratory meal.","['What jolly relative announced the winner at the end of the story?', 'Where was the trophy hidden?', 'Where did the treasure hunt take place?']",Joshua.,"In the garden of the family home, in the very heart of the family.",The child's house.
study2,b,03,p03b.txt,"Wiping his brow with the kitchen towel, the chef paused for a moment in his preparations to survey the mess he had created. This meal had to be perfect, flawless from the appetizers to the dessert. Not wanting to waste time, he picked up the metal knife and continued to prepare the vegetables for the salad. The timer sounded, signaling that it was time to apply the herb rub to the roast. The chef accidently knocked over some plastic bowls in his hurry to whisk the roast out of the oven. Where did he put those spices? How could he have forgotten something like that on such an important day? He must have left them in his catering van. The chef sat down in the kitchen and rested his head on the counter in discouragement. A half hour later, he roused himself and plodded through the rented hall until he reached the exit. Slowly opening the double doors, he started to walk up San Francisco's steepest hill. He strolled past a florist and a pastry shop, but he still had a mile to go before he reached his van, which was parked at the very top. After thirty minutes of walking, the chef was becoming very tired. He looked downhill, along the tracks, but there was no trolley approaching He continued on his journey. His pace slowed. It was an hour before he finally reached his van. He grabbed the forgotten box of spices and breathed a sigh of relief. The chef could envision how everything would go. He would first combine the spices in a bowl. Then, he would slide the seasoned roast back into the oven. Finally, he would use his metal utensil to complete the preparations. If tonight was successful, he could look forward to an exciting career in the catering business.","['Which metal utensil would the chef use to complete his preparations?', 'Given how long it took to retrieve his spices, should the chef have been so frustrated?', 'Where was the chef when he realized he forgot his spice kit?']",The chef would use the metal spoon to stir the ingredients together.,"In a way, yes.",In a parking lot.
